tpep_pickup_datetime,PU_count,PU_month,PU_day_of_month,PU_day_of_week,PU_hour,trip_distance,total_amount,lag_1h,lag_2h,lag_1d,lag_2d,ewma_3h,ewma_6h,ewma_12h,ewma_24h
2022-03-26 07:00:00,1094,3,26,5,7,3.9672213,20.485146,694.0,451.0,2634.0,3412.0,1023.1697935760295,1609.3763654701752,2702.612101369251,3553.7727807395836
2022-03-26 08:00:00,1858,3,26,5,8,3.162169,17.942293,1094.0,694.0,3836.0,4769.0,1440.5848967880147,1680.4116896215535,2572.671778081674,3418.110958280417
2022-03-26 09:00:00,2978,3,26,5,9,2.7505474,16.756948,1858.0,1094.0,4152.0,5050.0,2209.2924483940074,2051.1512068725383,2635.029966069109,3382.9020816179836
2022-03-26 10:00:00,4033,3,26,5,10,2.4934936,16.166489,2978.0,1858.0,4559.0,5196.0,3121.146224197004,2617.39371919467,2850.102278981554,3434.909915088545
2022-03-26 11:00:00,5679,3,26,5,11,2.363448,16.206522,4033.0,2978.0,4936.0,5215.0,4400.073112098502,3492.138370853336,3285.3173129843917,3614.4371218814613
2022-03-26 12:00:00,5614,3,26,5,12,2.4464748,16.596306,5679.0,4033.0,5330.0,5729.0,5007.036556049251,4098.384550609526,3643.57618790987,3774.402152130944
2022-03-26 13:00:00,5755,3,26,5,13,2.489192,17.06608,5614.0,5679.0,5280.0,5782.0,5381.018278024625,4571.703250435376,3968.4106205391213,3932.8499799604683
2022-03-26 14:00:00,5912,3,26,5,14,2.5433846,17.379372,5755.0,5614.0,6060.0,6169.0,5646.5091390123125,4954.645178882411,4267.42437122541,4091.181981563631
2022-03-26 15:00:00,6440,3,26,5,15,2.429402,17.119072,5912.0,5755.0,6075.0,6242.0,6043.254569506156,5379.032270630293,4601.66677565227,4279.087423038541
2022-03-26 16:00:00,6163,3,26,5,16,2.4612446,17.327663,6440.0,5912.0,5924.0,6143.0,6103.127284753078,5603.023050450209,4841.871887090383,4429.800429195458
2022-03-26 17:00:00,6692,3,26,5,17,2.4257994,17.207287,6163.0,6440.0,6675.0,7058.0,6397.563642376539,5914.1593217501495,5126.50698138417,4610.776394859821
2022-03-26 18:00:00,7149,3,26,5,18,2.3123486,16.790804,6692.0,6163.0,7751.0,7767.0,6773.2818211882695,6266.970944107249,5437.659753478913,4813.834283271036
2022-03-26 19:00:00,7016,3,26,5,19,2.2163653,16.708702,7149.0,6692.0,7178.0,6717.0,6894.640910594135,6480.9792457908925,5680.481329866772,4990.007540609353
2022-03-26 20:00:00,5922,3,26,5,20,2.348845,17.184422,7016.0,7149.0,5818.0,5929.0,6408.320455297067,6321.270889850638,5717.638048348807,5064.566937360605
2022-03-26 21:00:00,5763,3,26,5,21,2.3793893,16.95414,5922.0,7016.0,5693.0,5726.0,6085.660227648534,6161.764921321884,5724.6168101412995,5120.441582371757
